PLAYER_NAME,TOTAL_RUNS
"DA Warner",4741
"MC Henriques",969
"DJ Hooda",535
"Mandeep Singh",1547
"TM Head",205
"YS Chahal",22
"Sachin Baby",137
"RG Sharma",4914
"N Rana",1104
"KH Pandya",915
"KA Pollard",2784
"TG Southee",115
"AM Rahane",3850
"SPD Smith",2047
"SK Raina",5415
"AJ Finch",1744
"HH Pandya",1118
"MA Agarwal",1276
"AR Patel",806
"GJ Maxwell",1403
"DA Miller",1875
"Iqbal Abdulla",88
"P Negi",366
"AP Tare",339
"SW Billings",338
"KK Nair",1470
"CR Brathwaite",188
"DS Kulkarni",101
"MK Pandey",2872
"SP Narine",803
"A Zampa",5
"MM Sharma",124
"V Kohli",5434
"Ankit Sharma",164
"SS Iyer",1714
"EJG Morgan",854
"Sandeep Sharma",26
"JD Unadkat",55
"AF Milne",7
"AD Mathews",724
"RA Jadeja",1951
"Kuldeep Yadav",46
"JJ Bumrah",37
"SS Tiwary",1276
"CJ Jordan",3
"K Goel",218
"T Kohli",11
"PM Sarvesh Kumar",1
"Shoaib Ahmed",1
"R Ashwin",382
"AN Ahmed",36
"UBT Chand",300
"NLTC Perera",424
"BA Bhatt",6
"A Ashish Reddy",280
"Sunny Gupta",0
"R Dhawan",153
"Parvez Rasool",17
"S Gopal",131
"M de Lange",1
"RG More",2
"JC Buttler",1431
"BCJ Cutting",240
"CA Lynn",1308
"M Vohra",1016
"SV Samson",2235
"RR Pant",1792
"CH Morris",520
"PJ Cummins",77
"S Nadeem",32
"P Kumar",340
"SA Yadav",608
"CJ Anderson",538
"DL Chahar",73
"B Kumar",190
"MP Stoinis",482
"SN Thakur",36
"KC Cariappa",24
"Ishan Kishan",711
"VR Aaron",49
"MJ McClenaghan",91
"Mohammed Shami",54
"I Sharma",55
"KS Williamson",1319
"JP Faulkner",527
"NM Coulter-Nile",52
"UT Yadav",127
"KV Sharma",317
"MJ Guptill",271
"Anureet Singh",37
"PJ Sangwan",25
"R Tewatia",119
"TA Boult",12
"PP Chawla",587
"AS Rajpoot",18
"S Sohal",368
"VY Mahesh",15
"DB Das",304
"DB Ravi Teja",375
"S Anirudha",136
"SP Goswami",301
"H Das",2
"A Mukund",19
"Kamran Khan",3
"AS Raut",194
"AA Bilakhia",69
"SS Shaikh",6
"Jaskaran Singh",8
"S Tyagi",3
"S Ladda",0
"AB Barath",42
"KB Arun Karthik",51
"A Mithun",34
"AP Dole",34
"MR Marsh",225
"Harmeet Singh",18
"Sunny Singh",43
"WD Parnell",63
"SB Wagh",2
"RE Levi",83
"KK Cooper",116
"DAJ Bracewell",12
"N Saini",143
"BB Samantray",125
"Gurkeerat Singh",446
"K Upadhyay",12
"P Awana",5
"MC Juneja",125
"GH Vihari",280
"KL Rahul",2013
"Q de Kock",1489
"IC Pandey",0
"UA Birla",7
"VH Zol",29
"BE Hendricks",1
"JO Holder",38
"C Munro",180
"NS Naik",23
"PSP Handscomb",6
"BB Sran",11
"Mustafizur Rahman",1
"V Shankar",574
"Shakib Al Hasan",759
"AD Nath",91
"S Kaul",12
"Swapnil Singh",12
"IR Jaggi",76
"PR Shah",92
"TM Srivastava",8
"RR Raje",20
"CK Kapugedera",16
"PP Ojha",16
"U Kaul",0
"DP Vijaykumar",1
"SD Chitnis",99
"R Bishnoi",19
"KP Appanna",2
"Y Nagar",285
"CA Pujara",390
"R Sharma",66
"KAJ Roach",10
"AG Paunikar",49
"AL Menaria",401
"MS Wade",22
"AG Murtaza",10
"Harpreet Singh",20
"HV Patel",108
"V Pratap Singh",0
"PA Reddy",164
"AD Russell",1445
"MDKJ Perera",14
"KW Richardson",36
"NJ Maddinson",20
"JDS Neesham",42
"BR Dunk",40
"RR Rossouw",53
"Shivam Sharma",5
"Karanveer Singh",12
"SA Abbott",15
"J Suchith",54
"SN Khan",416
"KJ Abbott",13
"J Yadav",6
"S Kaushik",0
"AN Ghosh",7
"B Sumanth",35
"R Shukla",19
"CM Gautam",169
"M Ashwin",4
"ER Dwivedi",24
"MA Starc",96
"UT Khawaja",127
