BATSMAN,AVERAGE,STRIKERATE
"V Kohli",35.6973684210526300,131.987351009486760
"DA Warner",41.3771929824561400,143.286755771567440
"CH Gayle",41.1363636363636300,152.254374158815600
"MS Dhoni",37.7118644067796600,138.802245789145360
"AB de Villiers",42.4423076923076900,152.101998621640230
"SE Marsh",38.2923076923076950,133.386923901393350
"KL Rahul",40.5714285714285700,139.215686274509800
"RR Pant",36.0612244897959200,164.985994397759100
"JC Buttler",37.7297297297297260,151.904243743199120
"KS Williamson",38.5000000000000000,135.788381742738600
"ML Hayden",41.0000000000000000,138.029925187032400
"KP Pietersen",35.7500000000000000,135.270270270270300
"A Symonds",37.4615384615384600,130.213903743315500
"HM Amla",44.3846153846153900,141.769041769041760
"S Gill",36.4285714285714300,135.278514588859420
"OA Shah",38.9230769230769200,131.088082901554400
"J Bairstow",57.3750000000000000,161.619718309859140
"PD Collingwood",50.7500000000000000,130.128205128205140
"JJ Roy",36.6000000000000000,135.555555555555570
"AN Ahmed",36.0000000000000000,138.461538461538450
