MATCH_ID,TOTAL_WIDES,TOTAL_NO_BALLS
1,9,2
2,9,0
3,13,0
4,14,0
5,8,0
6,3,0
7,12,3
9,9,0
10,6,1
11,18,2
12,10,1
13,8,0
14,14,0
15,5,4
17,12,0
18,10,0
19,11,1
20,9,0
23,1,1
24,15,1
25,4,1
26,5,0
28,5,0
30,7,2
34,9,4
38,6,0
39,4,1
40,2,0
41,9,0
47,9,0
48,8,0
42,6,0
52,3,0
53,11,1
54,4,0
58,8,0
60,20,0
62,13,0
63,8,0
64,19,3
65,8,5
69,8,3
66,8,1
70,5,1
71,16,3
72,7,2
83,16,1
86,15,0
93,9,3
103,6,1
110,4,4
119,9,1
127,12,0
128,11,1
130,14,0
137,5,1
145,13,4
186,3,0
188,4,0
212,11,3
223,2,1
246,15,1
253,8,0
350,7,0
8,5,0
16,18,2
21,3,2
22,10,2
31,7,0
32,2,1
27,10,2
33,5,0
35,7,0
36,10,0
37,7,0
45,5,0
49,5,0
51,9,0
43,6,0
56,11,1
57,7,0
59,8,0
61,8,1
67,15,4
68,7,2
73,10,2
75,16,1
76,1,2
78,10,4
79,7,4
80,8,2
81,10,1
85,6,2
87,10,2
90,21,1
91,12,1
92,7,5
94,12,0
96,21,0
97,4,1
98,7,0
99,10,1
101,24,1
104,14,0
109,8,1
